date,co2,date_seas_adj,co2_seas_adj,date_fit,co2_fit,date_seas_adj_fit,co2_seas_adj_fit
1969.78904109589,321.78,1969.78904109589,324.88,1969.3698630137,327.34,1969.3698630137,324.43
1969.87397260274,322.85,1969.87397260274,324.8,1969.45479452055,326.75,1969.45479452055,324.57
1969.95616438356,324.11,1969.95616438356,324.91,1969.53698630137,325.35,1969.53698630137,324.69
1970.04109589041,325.06,1970.04109589041,325.01,1969.62191780822,323.44,1969.62191780822,324.8
1970.12602739726,325.99,1970.12602739726,325.32,1969.70684931507,321.89,1969.70684931507,324.9
1970.20273972603,326.93,1970.20273972603,325.6,1969.78904109589,321.91,1969.78904109589,324.99
1970.28767123288,328.13,1970.28767123288,325.74,1969.87397260274,323.15,1969.87397260274,325.07
1970.3698630137,328.08,1970.3698630137,325.16,1969.95616438356,324.37,1969.95616438356,325.15
1970.45479452055,327.67,1970.45479452055,325.46,1970.04109589041,325.3,1970.04109589041,325.24
1970.53698630137,326.34,1970.53698630137,325.65,1970.12602739726,325.99,1970.12602739726,325.32
1970.62191780822,324.68,1970.62191780822,326.01,1970.20273972603,326.73,1970.20273972603,325.39
1970.70684931507,323.1,1970.70684931507,326.1,1970.28767123288,327.88,1970.28767123288,325.47
1970.78904109589,323.07,1970.78904109589,326.17,1970.3698630137,328.47,1970.3698630137,325.55
1970.87397260274,324.01,1970.87397260274,325.96,1970.45479452055,327.82,1970.45479452055,325.63
1970.95616438356,325.13,1970.95616438356,325.93,1970.53698630137,326.36,1970.53698630137,325.7
1971.04109589041,326.17,1971.04109589041,326.12,1970.62191780822,324.4,1970.62191780822,325.77
1971.12602739726,326.68,1971.12602739726,326.02,1970.70684931507,322.81,1970.70684931507,325.83
1971.20273972603,327.18,1971.20273972603,325.85,1970.78904109589,322.79,1970.78904109589,325.88
1971.28767123288,327.79,1971.28767123288,325.38,1970.87397260274,324,1970.87397260274,325.93
1971.3698630137,328.93,1971.3698630137,326,1970.95616438356,325.18,1970.95616438356,325.96
1971.45479452055,328.57,1971.45479452055,326.36,1971.04109589041,326.07,1971.04109589041,326
1971.53698630137,327.36,1971.53698630137,326.66,1971.12602739726,326.72,1971.12602739726,326.04
1971.62191780822,325.43,1971.62191780822,326.76,1971.20273972603,327.43,1971.20273972603,326.08
1971.70684931507,323.36,1971.70684931507,326.38,1971.28767123288,328.55,1971.28767123288,326.13
1971.78904109589,323.56,1971.78904109589,326.68,1971.3698630137,329.12,1971.3698630137,326.19
1971.87397260274,324.8,1971.87397260274,326.75,1971.45479452055,328.45,1971.45479452055,326.26
1971.95616438356,326.01,1971.95616438356,326.81,1971.53698630137,326.99,1971.53698630137,326.33
1972.04098360656,326.77,1972.04098360656,326.72,1971.62191780822,325.03,1971.62191780822,326.4
1972.12568306011,327.63,1972.12568306011,326.97,1971.70684931507,323.44,1971.70684931507,326.47
1972.20491803279,327.75,1972.20491803279,326.39,1971.78904109589,323.44,1971.78904109589,326.54
1972.28961748634,329.72,1972.28961748634,327.29,1971.87397260274,324.68,1971.87397260274,326.62
1972.37158469945,330.07,1972.37158469945,327.13,1971.95616438356,325.91,1971.95616438356,326.69
1972.45628415301,329.09,1972.45628415301,326.88,1972.04098360656,326.84,1972.04098360656,326.78
1972.53825136612,328.04,1972.53825136612,327.37,1972.12568306011,327.55,1972.12568306011,326.87
1972.62295081967,326.32,1972.62295081967,327.69,1972.20491803279,328.35,1972.20491803279,326.97
1972.70765027322,324.84,1972.70765027322,327.87,1972.28961748634,329.54,1972.28961748634,327.09
1972.78961748634,325.2,1972.78961748634,328.32,1972.37158469945,330.16,1972.37158469945,327.23
1972.87431693989,326.5,1972.87431693989,328.46,1972.45628415301,329.56,1972.45628415301,327.38
1972.95628415301,327.55,1972.95628415301,328.36,1972.53825136612,328.18,1972.53825136612,327.54
1973.04109589041,328.55,1973.04109589041,328.49,1972.62295081967,326.32,1972.62295081967,327.72
1973.12602739726,329.56,1973.12602739726,328.9,1972.70765027322,324.86,1972.70765027322,327.91
1973.20273972603,330.3,1973.20273972603,328.96,1972.78961748634,324.99,1972.78961748634,328.1
1973.28767123288,331.5,1973.28767123288,329.09,1972.87431693989,326.37,1972.87431693989,328.31
1973.3698630137,332.48,1973.3698630137,329.53,1972.95628415301,327.72,1972.95628415301,328.51
1973.45479452055,332.07,1973.45479452055,329.84,1973.04109589041,328.78,1973.04109589041,328.71
1973.53698630137,330.87,1973.53698630137,330.17,1973.12602739726,329.6,1973.12602739726,328.92
1973.62191780822,329.31,1973.62191780822,330.65,1973.20273972603,330.46,1973.20273972603,329.1
1973.70684931507,327.52,1973.70684931507,330.56,1973.28767123288,331.73,1973.28767123288,329.3
1973.78904109589,327.19,1973.78904109589,330.32,1973.3698630137,332.42,1973.3698630137,329.47
1973.87397260274,328.16,1973.87397260274,330.13,1973.45479452055,331.85,1973.45479452055,329.63
1973.95616438356,328.65,1973.95616438356,329.45,1973.53698630137,330.44,1973.53698630137,329.77
1974.04109589041,329.36,1974.04109589041,329.31,1973.62191780822,328.5,1973.62191780822,329.88
1974.12602739726,330.71,1974.12602739726,330.04,1973.70684931507,326.91,1973.70684931507,329.96
1974.20273972603,331.49,1974.20273972603,330.14,1973.78904109589,326.89,1973.78904109589,330.01
1974.28767123288,332.65,1974.28767123288,330.23,1973.87397260274,328.1,1973.87397260274,330.05
1974.3698630137,333.1,1974.3698630137,330.14,1973.95616438356,329.28,1973.95616438356,330.07
1974.45479452055,332.26,1974.45479452055,330.02,1974.04109589041,330.16,1974.04109589041,330.09
1974.53698630137,331.18,1974.53698630137,330.48,1974.12602739726,330.8,1974.12602739726,330.12
1974.62191780822,329.4,1974.62191780822,330.75,1974.20273972603,331.51,1974.20273972603,330.15
1974.70684931507,327.44,1974.70684931507,330.49,1974.28767123288,332.62,1974.28767123288,330.18
1974.78904109589,327.38,1974.78904109589,330.53,1974.3698630137,333.18,1974.3698630137,330.22
1974.87397260274,328.46,1974.87397260274,330.44,1974.45479452055,332.49,1974.45479452055,330.27
1974.95616438356,329.58,1974.95616438356,330.39,1974.53698630137,330.99,1974.53698630137,330.31
1975.04109589041,330.41,1975.04109589041,330.36,1974.62191780822,328.98,1974.62191780822,330.37
1975.12602739726,331.41,1975.12602739726,330.74,1974.70684931507,327.35,1974.70684931507,330.42
1975.20273972603,332.05,1975.20273972603,330.7,1974.78904109589,327.33,1974.78904109589,330.47
1975.28767123288,333.32,1975.28767123288,330.88,1974.87397260274,328.57,1974.87397260274,330.53
1975.3698630137,333.98,1975.3698630137,331.01,1974.95616438356,329.79,1974.95616438356,330.59
