years_before_now,co2,years_before_now_seas_adj,co2_seas_adj,years_before_now_fit,co2_fit,years_before_now_seas_adj_fit,co2_seas_adj_fit,years_before_now_filled,co2_filled,years_before_now_seas_adj_filled,co2_seas_adj_filled
43.288952176649,339.3,46.7875823136353,331.58,46.7875823136353,330.85,46.7875823136353,331.64,46.7875823136353,330.77,46.7875823136353,331.58
43.3738836834982,339.48,46.8697740944572,331.48,46.8697740944572,329.6,46.8697740944572,331.56,46.8697740944572,329.5,46.8697740944572,331.48
43.4560754643203,338.89,46.9547056013066,331.51,46.9547056013066,328.33,46.9547056013066,331.48,46.9547056013066,328.35,46.9547056013066,331.51
43.5410069711695,337.97,47.0368973821285,331.62,47.0368973821285,328.32,47.0368973821285,331.39,47.0368973821285,328.57,47.0368973821285,331.62
43.6177192999367,336.77,47.1218288889777,331.42,47.1218288889777,329.91,47.1218288889777,331.3,47.1218288889777,330.06,47.1218288889777,331.42
43.7026508067859,336.24,47.2067603958271,331.21,47.2067603958271,331.88,47.2067603958271,331.21,47.2067603958271,331.91,47.2067603958271,331.21
43.7875823136353,334.96,47.288952176649,331.36,47.288952176649,333.34,47.288952176649,331.11,47.288952176649,333.62,47.288952176649,331.36
43.8697740944572,333.93,47.3738836834982,331.01,47.3738836834982,333.98,47.3738836834982,331.01,47.3738836834982,333.98,47.3738836834982,331.01
43.9547056013066,332.56,47.4560754643203,330.89,47.4560754643203,333.36,47.4560754643203,330.92,47.4560754643203,333.32,47.4560754643203,330.89
44.0368973821285,332.77,47.5410069711695,330.7,47.5410069711695,332.19,47.5410069711695,330.82,47.5410069711695,332.05,47.5410069711695,330.7
44.1218288889777,334.69,47.6177192999367,330.73,47.6177192999367,331.43,47.6177192999367,330.74,47.6177192999367,331.41,47.6177192999367,330.73
44.2067603958271,336.55,47.7026508067859,330.35,47.7026508067859,330.73,47.7026508067859,330.66,47.7026508067859,330.41,47.7026508067859,330.35
44.288952176649,337.91,47.7875823136353,330.38,47.7875823136353,329.8,47.7875823136353,330.59,47.7875823136353,329.58,47.7875823136353,330.38
44.3738836834982,338.02,47.8697740944572,330.44,47.8697740944572,328.57,47.8697740944572,330.53,47.8697740944572,328.46,47.8697740944572,330.44
44.4560754643203,337.76,47.9547056013066,330.54,47.9547056013066,327.33,47.9547056013066,330.47,47.9547056013066,327.38,47.9547056013066,330.54
